Brand,Model,JobCategory,Storage,BatteryEstimate,Display,Portability,PriceRange,CPU,RAM,Price_ILS_Estimated,URL
HP,15s (i3 8GB),"Basic Budget (Receptionist, Call-center Agent, Cashier)",256 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Budget,Intel Core i3,8 GB,2300,https://mt.studio.ps/en/shop/hp-15s-fq5093nj-i3-12th-8gb-ram-256gb-ssd-10041?category=160&order=create_date+desc
HP,15s (i5 16GB),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Intel Core i5,16 GB,3500,https://old.studio.ps/en/shop/hp-15s-fq5095nj-i5-12th-16gb-ram-512gb-nvme-10045
HP,Pavilion 15 (i7),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Average 6-8h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Midrange,Intel Core i7,8 GB ,5200,https://www.homeplus.ps/item/32356
HP,Pavilion x360 15,"2 in 1 Convertible (Note taker, Presenter, Field Worker)",512 GB SSD,Average 6-8h,15.6-inch FHD touch,Medium 1.6-2.0kg,Midrange,Unknown,8 GB ,3000,https://alqudsit.ps/products/hp-pavilion-15
HP,Envy 15 (i7 RTX),"Creator (Content Creator, Graphic Designer, Photographer)",512 GB SSD,Average 5-7h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Upper midrange,Intel Core i7,8 GB ,5200,https://HP-Victus-15-FA1097NE-Gaming-Laptop-Intel-Core-i7-13700H-�-16GB-512GB�RTX-4050-6GB-�-15.6-�-EXTREME-GAMING-STORE
HP,Victus 15 (GTX/RTX),"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",512 GB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,6500,https://mt.studio.ps/shop/hp-victus-15-fa0033-gaming-coretm-i5-13450h-512gb-ssd-16gb-15-6-1920x1080-144hz-win11-nvidia-r-rtx-3050-6gb-backlit-keyboard-13558
HP,Victus 16 (RTX),"Gaming (Gamer, Streamer, Esports)",512 GB SSD,High drain 3-6h,16.1-inch FHD 144Hz,Heavy >2.0kg,Midrange,Unknown,16 GB,6500,https://mt.studio.ps/shop/hp-victus-laptop-i7-13th-16gb-ram-512gb-ssd-rtx-4050-6g-16-1-inch-144hz-13560
HP,Omen 16,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-6h,16.1-inch FHD QHD high refresh,Heavy >2.0kg,Upper midrange,Unknown,16 GB,3000,https://estore.jawwal.ps/laptop-omen-by-hp-gaming-16-wd0005ne-161-inch-intel-core-i7
HP,ProBook 450 G10,"Business Pro (Accountant, Manager, Sales Rep)",512 GB SSD,Good 8-10h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Midrange,Unknown,4 GB,3000,https://estore.jawwal.ps/laptop-hp-probook-450-g10-156-inch-intel-core-i7
HP,EliteBook 840 G10,"Business Pro (Accountant, Manager, Sales Rep)",1 TB SSD,Excellent 9-12h,14-inch FHD IPS,Light 1.3-1.6kg,Upper midrange,Unknown,8 GB,3000,https://estore.jawwal.ps/laptop-hp-elitebook-840-g10-intel-core-i7
HP,Spectre x360 16,"Premium 2 in 1 (Executive, Designer, Presenter)",1 TB SSD,Good 8-10h,16-inch OLED touch,Medium 1.6-2.0kg,Premium,Unknown,16 GB,3000,https://www.facebook.com/100063483433356/posts/%D8%B3%D8%B9%D8%B1-1700hp-spectre-x360intelr-coretm-i7-1065g7-cpu-130ghz-150ram-8ssd-m2-5120594/1261937642599005/
Dell,Inspiron 14 5000,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-dell-inspiron-5406-2in1-touch-w10-gray/
Dell,Inspiron 2-in-1 (14?),"2 in 1 Convertible (Note taker, Presenter, Field Worker)",1 TB SSD,Average 6-8h,14-inch FHD touch,Medium 1.6-2.0kg,Midrange,Unknown,4 GB,3000,https://mt.studio.ps/shop/category/computers-laptop-pc-266?utm_source=chatgpt.com
Dell,Vostro 15 3000,"Business Office (HR Assistant, Office Manager, Clerk)",512 GB SSD,Good 7-9h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Unknown,8 GB ,3000,https://watanimall.com/product/laptop-dell-vostro-15-3501-1003/?utm_source=chatgpt.com
Dell,Vostro 15 5000,"Business Pro (Accountant, Manager, Sales Rep)",512 GB SSD,Good 8-10h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://www.alqudsit.ps/products/dell-vostro?utm_source=chatgpt.com
Lenovo,IdeaPad 3 15 (i5),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Intel Core i5,8 GB ,3500,https://watanimall.com/product/laptop-lenovo-ip3-15-6%E2%80%B3-i5-12450h-ssd512-ram16-dos-grey/
Lenovo,IdeaPad 5 14 ,"Student/Office (Student, Teacher, Office Admin)",256 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-lenovo-ideadpad-5-14itl-82fe00hciv-grey/
Lenovo,Yoga 7 14,"2 in 1 Convertible (Note taker, Presenter, Field Worker)",1 TB SSD,Excellent 9-12h,14-inch OLED or 2.8K,Light 1.3-1.6kg,Upper midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-lenovo-yoga-7-14ahp9-14-r7-8840hs-ssd1t-ram16-w1h/
Lenovo,"Yoga 2-in-1 14"" Ultra 7","Premium 2 in 1 (Executive, Designer, Presenter)",1 TB SSD,Excellent 10-13h,14-inch OLED,Light 1.3-1.6kg,Premium,Unknown,4 GB,3000,https://watanimall.com/product/laptop-lenovo-yoga-2in1-14%E2%80%B3t-ultra-7-155-ssd1t-ram16-w11p/
Lenovo,ThinkPad E14,"Business Pro (Accountant, Manager, Sales Rep)",1 TB SSD,Good 8-10h,14-inch FHD,Medium 1.6-2.0kg,Lower midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-lenovo-thinkpad-e14-20rbs8cl00-w10p/
Lenovo,Legion 5 15,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-6h,15.6-inch FHD 165Hz,Medium 1.6-2.0kg,Upper midrange,Unknown,8 GB ,3000,https://mt.studio.ps/shop/lenovo-legion-5-15iax10-oled-ultra-9-275hx-32gb-1tb-rtx-5070-15-1-13669#attribute_values=10375
Asus,VivoBook 14 (i3),"Basic Budget (Receptionist, Call-center Agent, Cashier)",256 GB SSD,Average 6-8h,14-inch FHD,Light 1.3-1.6kg,Budget,Intel Core i3,4 GB,2300,https://miditech.ps/?app=product.show.879
Asus,VivoBook 15 (i5),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD,Medium 1.6-2.0kg,Lower midrange,Intel Core i5,8 GB ,3500,https://miditech.ps/?app=product.show.889
Asus,VivoBook 15 (Ryzen 7),"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Midrange,AMD Ryzen 7,8 GB ,5200,https://www.ubuy.com.ps/ar/product/7OST4FN2U-asus-vivobook-15-laptop-15-6a-display-amd-ryzen-5-4600h-cpu-amd-radeon-gpu-8gb-ram-256gb-ssd-windows-11-home-quiet-blue-m1502ia-as51
Asus,VivoBook S14 OLED 2024,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Good 8-10h,14-inch OLED 2.8K,Light 1.3-1.6kg,Upper midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/IVWNCL5A8-asus-2024-newest-vivobook-thin-and-light-laptop-16-fhd-display-amd-ryzen-7-5800hs-8-cores-24gb-ram-1tb-ssd-amd-radeon-graphics-wi-fi-6
Asus,ZenBook 14 OLED,"Premium Ultrabook (Consultant, Executive, Frequent Traveler)",1 TB SSD,Excellent 10-13h,14-inch OLED 2.8K,Very light <1.3kg,Premium,Unknown,4 GB,3000,https://aramobi.com/laptop-price/605412/???-???-???-Asus-Zenbook-14-OLED-Laptop-??-??????/
Asus,TUF Gaming A15,"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",1 TB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,6500,https://aramobi.com/laptop-price/640459/???-???-???-Asus-TUF-Gaming-A15-Gaming-Laptop-??-??????/
Asus,TUF Gaming F15,"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",1 TB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,6500,https://megatech.ps/products/580
Asus,ROG Strix G16,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-5h,16-inch FHD or QHD high refresh,Heavy >2.0kg,Upper midrange,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/product/8M4VHDC0C-asus-rog-strix-g16-2023-gaming-laptop-16-16-10-fhd-165hz-geforce-rtx-4060-intel-core-i7-13650hx-16gb-ddr5-512gb-pcie-ssd-wi-fi-6e-windows-11
Asus,ROG Zephyrus G14,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,Average 4-7h,14-inch QHD high refresh,Light 1.3-1.6kg,Premium,Unknown,4 GB,3000,https://watanimall.com/product/laptop-asus-rog-zephyrus-g14-ga401iv-ha404t-whit/?srsltid=AfmBOop0bxDx8_cTU61a0PjNB9B-DWQa29HkC2LZVctLtFjHYh5bYZDY
Asus,ExpertBook B1 14,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Excellent 9-12h,14-inch FHD,Light 1.3-1.6kg,Midrange,Unknown,4 GB,3000,https://1pc.co.il/en/asus-expertbook-b1-b1400cba-eb2001-laptop?srsltid=AfmBOoovgC5RefErmbVoj87hnUoHa2sJRYCMjFtYU3TejTzCsNFaOmu4
Asus,ExpertBook B5 14,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Excellent 10-13h,14-inch FHD or OLED,Very light <1.3kg,Upper midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/MP3FP5QQG-me2-michaelelectronics2-asus-expertbook-b5-home-business-laptop-intel-i7-1260p-12-core-14-0-60-hz-full-hd-1920x1080-intel-iris-xe
Asus,Chromebook Flip C434,"Chromebook/Cloud (Student, Remote Support, Web Browsing)",512 GB SSD,Good 8-10h,14-inch FHD touch,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,1800,https://www.ubuy.com.ps/ar/product/FVOK3RS-asus-chromebook-flip-14-full-hd-touchscreen-intel-core-m-m3-8100y-8gb-ram-64gb-ssd-chrome-os-black-silver-c434ta-ds384t
Asus,Chromebook C223,"Chromebook/Cloud (Student, Remote Support, Web Browsing)",512 GB SSD,Good 8-10h,11.6-inch HD,Very light <1.3kg,Budget,Unknown,8 GB ,1800,https://www.ubuy.com.ps/ar/product/3ODGS670Y-asus-chromebook-c223-11-6-34-hd-chromebook-laptop-intel-dual-core-celeron-n3350-processor-up-to-2-4ghz-4gb-ram-32gb-emmc-storage-premium
Asus,ROG Flow X13,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-6h,13.4-inch FHD or QHD,Very light <1.3kg,Premium,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/J4DY29JLU-asus-rog-flow-x13-134-touchscreen-gaming-laptop-1920-x-1200-fhd-amd-ryzen
Asus,BR1100 Edu,"Basic Budget (Receptionist, Call-center Agent, Cashier)",512 GB SSD,Good 8-10h,11.6-inch HD,Very light <1.3kg,Budget,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/1AF8HUWQK-asus-br1100f-br1100fka-xs04t-11-6-touchscreen-rugged-notebook-hd-1366-x-768-intel-celeron-n4500-dual-core-2-core-1-10-ghz-4-gb-ram
Acer,Aspire 3 15,"Basic Budget (Receptionist, Call-center Agent, Cashier)",512 GB SSD,Average 6-8h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/79HWQVHF0-acer-aspire-3-15-6-display-intel-core-i3-4gb-ddr4-128gb-nvme-ssd-electric-blue-windows-11
Acer,Aspire 5 15,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://arabcomputer.net/ar/product/laptop-acer-aspire-5-a515-57-55kj-slim-business-laptop-nx-kn4em-008-cpu-core-i5-12450h-ram-8-gb-ddr4-hdd-512gb-m-2-nvme-ssd-intel-uhd-graphics-dos-15-6-dos-warranty-1-year/?srsltid=AfmBOoqVUzYq4GmLJbzcVC9dHMfPxwFvIVvLsTe9HOXIbpWABhIHoQ5O
Acer,Aspire 7 15,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Average 6-8h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://quantum.ps/product/acer-aspire-7-a715-76g-598u/
Acer,Extensa 15,"Business Office (HR Assistant, Office Manager, Clerk)",256 GB SSD,Average 6-8h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/FFRM0GY2W-acer-extensa-15-215-23-ex215-23-r29q-15-6-notebook-full-hd-1920-x-1080-amd-ryzen-3-7320u-quad-core-4-core-2-40-ghz-8-gb-total-ram-256-gb
Acer,Swift Go 14,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Excellent 10-13h,14-inch OLED or FHD,Very light <1.3kg,Midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/8Q1FY4ZMM-acer-swift-go-14-intel-evo-thin-light-laptop-14-1920x1200-100-srgb-touch-display-intel-core-i7-1355u-intel-iris-xe-16gb-lpddr5
Acer,Swift 3 14,"Student/Office (Student, Teacher, Office Admin)",256 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/20II3HM0-acer-swift-3-14-full-hd-intel-core-i5-6200u-8gb-ddr4-256gb-ssd-windows-10-sf314-51-52w2
Acer,Nitro 5 15,"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",1 TB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Heavy >2.0kg,Lower midrange,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/3E4HUI-acer-nitro-5-an515-54-5812-core-i5-9300h-2-4-ghz-win-10-home-64-bit-8gb-ram-256-gb-ssd-nvme-15-6-ips-1920-x-1080-full-hd-gf-gtx-1650-bluetooth-wi-fi-o
Acer,Nitro V 16,"Gaming (Gamer, Streamer, Esports)",1 TB SSD,High drain 3-6h,16-inch FHD or QHD high refresh,Heavy >2.0kg,Midrange,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/product/MDYGI6TM0-acer-nitro-v-16-gaming-laptop-16-wuxga-ips-165hz-amd-zen-4-8-core-ryzen-7-8845hs-i7-12700h-64gb-ddr5-4tb-ssd-geforce-rtx-4060-8gb
Acer,Predator Helios 16,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-5h,16-inch QHD high refresh,Heavy >2.0kg,Premium,Unknown,16 GB,3000,https://megatech.ps/products/809
Acer,Chromebook 315,"Chromebook/Cloud (Student, Remote Support, Web Browsing)",512 GB SSD,Good 8-10h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Unknown,8 GB,1800,https://www.ubuy.com.ps/ar/product/ICC2Y32EY-chromebook-315-15-6-hd-intel-celeron-n4020-4gb-ram-64gb-emmc-home-student-laptop-12-5-hr-battery-life-anti-glare-narrow-bezel-numeric
Acer,Chromebook Spin 513,"Chromebook/Cloud (Student, Remote Support, Web Browsing)",512 GB SSD,Excellent 10-13h,13.3-inch FHD touch,Light 1.3-1.6kg,Lower midrange,Unknown,8 GB ,1800,https://www.ubuy.com.ps/ar/product/1GDH3OC1W-acer-chromebook-spin-513-r841t-r841t-s4zg-13-3-yes-2-in-1-chromebook-full-hd-1920-x-1080-qualcomm-kryo-468-octa-core-8-core-2-4ghz-4gb
Acer,TravelMate P4 14,"Business Pro (Accountant, Manager, Sales Rep)",1 TB SSD,Excellent 9-12h,14-inch FHD or 2K,Light 1.3-1.6kg,Midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/JV7CD7DGE-acer-travelmate-laptop-14-0-wuxga-amd-ryzen-5-pro-6650u-32gb-ddr5-1tb-pcie-ssd-amd-radeon-660m-wi-fi-6e-bluetooth-5-1-backlit-kyb
Acer,Spin 5 14,"2 in 1 Convertible (Note taker, Presenter, Field Worker)",512 GB SSD,Good 8-10h,14-inch FHD touch,Light 1.3-1.6kg,Midrange,Unknown,4 GB,3000,https://shawerstore.ps/products/8394832815155147
MSI,Modern 14 (i5),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,14-inch FHD,Light 1.3-1.6kg,Lower midrange,Intel Core i5,4 GB,3500,https://quantum.ps/product/modern-14-b11mou-1214x/
MSI,Prestige 14 Evo,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Excellent 9-12h,14-inch FHD or 2.8K,Very light <1.3kg,Upper midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/productuk/1HNPZV6IO-msi-prestige-14-evo-a11m-022uk
MSI,Prestige 16 AI,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Good 8-10h,16-inch 2.5K IPS or OLED,Medium 1.6-2.0kg,Premium,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/productjp/MPT8TDRYU-msi-business-laptop-prestige-16aievo-32gb-1tb-16-inch-4k-oled-displayhdrtrue-black600-dci-p3-equivalent-keyboard-with-numeric-keypad-windows-11-pro
MSI,Stealth 14 AI Studio,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,Average 5-7h,14-inch QHD high refresh,Light 1.3-1.6kg,Premium,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/MWJG5SGPG-excaliberpc-2024-msi-stealth-14-ai-studio-a1veg-090us-pro-extreme-intel-core-ultra-7-155h-96gb-ddr5-ram-1tb-nvme-ssd-nvidia-geforce-rtx-4050-14
MSI,Katana 15,"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",1 TB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://al-arabi.ps/ar/products/10324
MSI,Cyborg 15,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://www.alqudsit.ps/products/msi-cyborg-15-1
MSI,Thin 15,"Basic Budget (Receptionist, Call-center Agent, Cashier)",512 GB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Budget,Unknown,8 GB,3000,https://www.officeone.ps/store/msithin15
MSI,GF63 Thin,"Basic Budget (Receptionist, Call-center Agent, Cashier)",512 GB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Budget,Unknown,8 GB ,3000,https://www.cobrashop.ps/product/msi-gaming-laptop-gf63-thin-10scsr/
Apple,MacBook Air 13 M2,"Premium Ultrabook (Consultant, Executive, Frequent Traveler)",512 GB SSD,Excellent 12-15h,13.6-inch Liquid Retina,Very light <1.3kg,Upper midrange,Unknown,8 GB,3000,https://estore.jawwal.ps/macbook-air-m2-8gb-256gb
Apple,MacBook Pro 14 M3 Pro,"Creator (Content Creator, Graphic Designer, Photographer)",1 TB SSD,Excellent 10-14h,14-inch Liquid Retina XDR,Light 1.3-1.6kg,Premium,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/productuk/IISWDMTDY-new-listing-apple-macbook-pro
Apple,MacBook Pro 16 M3 Pro,"Creator (Content Creator, Graphic Designer, Photographer)",512 GB SSD,Excellent 12-15h,16-inch Liquid Retina XDR,Medium 1.6-2.0kg,Premium,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/product/IEK7ZGBBW-apple-macbook-pro-16-with-m3-pro-chip-late-2023-space-black-12-core-18-core-36gb-1tb-ssd
Microsoft,Laptop Go 3,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,12.4-inch PixelSense,Very light <1.3kg,Lower midrange,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/productjp/IJK4N0SWG-microsoft-surface-laptop-go-3-office-h-b-2021-12-4-12th-gen-core-i5-8gb-256gb-sage-xk1-00010
Microsoft,Laptop 5 13.5,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Excellent 10-12h,13.5-inch PixelSense,Light 1.3-1.6kg,Upper midrange,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/I5FDNTMTM-microsoft-surface-laptop-5-13i5-16-256cm-win11-sc-english-us-canada-hdwr-commercial-black
Microsoft,Laptop Studio 2,"Premium 2 in 1 (Executive, Designer, Presenter)",512 GB SSD,Average 5-8h,14.4-inch 120Hz touch,Medium 1.6-2.0kg,Premium,Unknown,8 GB ,3000,https://www.ubuy.com.ps/ar/product/I6S799KIM-microsoft-surface-laptop-studio-2-14-4-120hz-2-in-1-touchscreen-intel-evo-core-i7-13800h-2-5ghz-16gb-ram-512gb-ssd-windows-11-pro-platinum
Samsung,Galaxy Book4 Pro 16,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,16-inch FHD,Light 1.3-1.6kg,Premium,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/product/Q6IEE7ZRA-new-samsung-galaxy-book4-pro-360-14-touch-intel-ultra-5-16gb-512gb-ssd-window11
Samsung,Galaxy Book4 Ultra 16,"Student/Office (Student, Teacher, Office Admin)",1 TB SSD,Average 6-8h,16-inch 3K AMOLED,Medium 1.6-2.0kg,Premium,Unknown,16 GB,3000,https://www.ubuy.com.ps/ar/productde/IWULLQ000-samsung-galaxy-book4-ultra-notebook-16-inch-laptop-intel-core-ultra-9-32gb-ram-1tb-moonstone-gray-3-year-manufacturer-warranty-exclusive-on
LG,Gram 14,"Premium Ultrabook (Consultant, Executive, Frequent Traveler)",512 GB SSD,Excellent 12-15h,14-inch FHD or 2K,Very light <1.3kg,Upper midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/product/5615FSQIK-lg-14z90qkaab6u1
Huawei,MateBook D 14,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,3000,https://www.ubuy.com.ps/ar/productjp/4QBJA6HGO-huawei-matebook-d-14-laptop-win11-14-inch-fhd-core-i5-1135g7-8gb-512gb-wi-fi-6-web-camera-fingerprint-authentication-integrated-power-supply
Huawei,MateBook D 15,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB,3000,https://www.ubuy.com.ps/ar/productuk/46R3ATGTI-huawei-matebook-d15-15-6in-i5
Huawei,MateBook X Pro,"Premium 2 in 1 (Executive, Designer, Presenter)",1 TB SSD,Good 8-10h,14.2-inch 3K touch,Very light <1.3kg,Premium,Unknown,8 GB ,3000,https://watanimall.com/product/laptop-huawei-matebook-x-pro-series-machc-wae9b/?srsltid=AfmBOop4hz45T-7MsY-YdSVLSqYwdO_8KCRj3YxDGPhoiT-ZvEvSC7Su
